California	38,802,500	33,871,648
Texas	26,956,958	20,851,820
Florida	19,893,297	15,982,378
New York	19,746,227	18,976,457
Illinois	12,880,580	12,419,293
Pennsylvania	12,787,209	12,281,054
Ohio	11,594,163	11,353,140
Georgia	10,097,343	8,186,453
North Carolina	9,943,964	8,049,313
Michigan	9,909,877	9,938,444
New Jersey	8,938,175	8,414,350
Virginia	8,326,289	7,078,515
Washington	7,061,530	5,894,121
Massachusetts	6,745,408	6,349,097
Arizona	6,731,484	5,130,632
Indiana	6,596,855	6,080,485
Tennessee	6,549,352	5,689,283
Missouri	6,063,589	5,595,211
Maryland	5,976,407	5,296,486
Wisconsin	5,757,564	5,363,675
Minnesota	5,457,173	4,919,479
Colorado	5,355,866	4,301,261
Alabama	4,849,377	4,447,100
South Carolina	4,832,482	4,012,012
Louisiana	4,649,676	4,468,976
Kentucky	4,413,457	4,041,769
Oregon	3,970,239	3,421,399
Oklahoma	3,878,051	3,450,654
Puerto Rico	3,548,397	3,808,610
Connecticut	3,596,677	3,405,565
Iowa	3,107,126	2,926,324
Mississippi	2,994,079	2,844,658
Arkansas	2,966,369	2,673,400
Utah	2,942,902	2,233,169
Kansas	2,904,021	2,688,418
Nevada	2,839,098	1,998,257
New Mexico	2,085,572	1,819,046
Nebraska	1,881,503	1,711,263
West Virginia	1,850,326	1,808,344
Idaho	1,634,464	1,293,953
Hawaii	1,419,561	1,211,537
Maine	1,330,089	1,274,923
New Hampshire	1,326,813	1,235,786
Rhode Island	1,055,173	1,048,319
Montana	1,023,579	902,195
Delaware	935,614	783,600
South Dakota	853,175	754,844
North Dakota	739,482	642,200
Alaska	736,732	626,932
District of Columbia	658,893	572,059
Vermont	626,562	608,827
Wyoming	584,153	493,782
