*Sch DP	Act DP
07/01/2015 2:40 AM (We)	4:00AM
07/01/2015 3:00 AM (We)	3:00AM
07/01/2015 4:40 AM (We)	4:40AM
07/01/2015 5:30 AM (We)	5:30AM
07/01/2015 6:00 AM (We)	6:01AM
07/01/2015 6:05 AM (We)	6:05AM
07/01/2015 6:10 AM (We)	6:10AM
07/01/2015 6:20 AM (We)	6:22AM
07/01/2015 6:45 AM (We)	6:46AM
07/01/2015 6:55 AM (We)	10:28AM
07/01/2015 7:00 AM (We)	7:00AM
07/01/2015 7:05 AM (We)	7:30AM
07/01/2015 7:15 AM (We)	7:17AM
07/01/2015 7:17 AM (We)	7:17AM
07/01/2015 7:25 AM (We)	7:25AM
07/01/2015 8:00 AM (We)	8:00AM
07/01/2015 8:00 AM (We)	9:52AM
07/01/2015 8:10 AM (We)	8:10AM
07/01/2015 8:15 AM (We)	8:19AM
07/01/2015 8:30 AM (We)	10:36AM
07/01/2015 9:00 AM (We)	9:00AM
07/01/2015 9:30 AM (We)	9:30AM
07/01/2015 9:35 AM (We)	9:37AM
07/01/2015 10:00 AM (We)	10:05AM
07/01/2015 10:03 AM (We)	11:03AM
07/01/2015 10:20 AM (We)	10:20AM
07/01/2015 10:35 AM (We)	11:00AM
07/01/2015 10:52 AM (We)	10:54AM
07/01/2015 11:00 AM (We)	11:19AM
07/01/2015 11:00 AM (We)	11:14AM
07/01/2015 11:02 AM (We)	11:34AM
07/01/2015 11:20 AM (We)	11:20AM
07/01/2015 11:33 AM (We)	12:09PM
07/01/2015 11:35 AM (We)	12:23PM
07/01/2015 12:00 PM (We)	12:00PM
07/01/2015 12:03 PM (We)	12:09PM
07/01/2015 12:05 PM (We)	12:06PM
07/01/2015 12:30 PM (We)	12:43PM
07/01/2015 12:35 PM (We)	12:46PM
07/01/2015 1:00 PM (We)	1:06PM
07/01/2015 1:03 PM (We)	1:19PM
07/01/2015 1:20 PM (We)	1:29PM
07/01/2015 2:00 PM (We)	2:06PM
07/01/2015 2:00 PM (We)	2:01PM
07/01/2015 2:02 PM (We)	2:09PM
07/01/2015 2:11 PM (We)	2:12PM
07/01/2015 2:15 PM (We)	4:03PM
07/01/2015 2:20 PM (We)	2:20PM
07/01/2015 2:44 PM (We)	2:44PM
07/01/2015 3:00 PM (We)	3:16PM
07/01/2015 3:00 PM (We)	3:00PM
07/01/2015 3:05 PM (We)	3:05PM
07/01/2015 3:15 PM (We)	3:46PM
07/01/2015 3:15 PM (We)	3:24PM
07/01/2015 3:30 PM (We)	3:42PM
07/01/2015 3:35 PM (We)	3:35PM
07/01/2015 3:40 PM (We)	3:41PM
07/01/2015 4:00 PM (We)	4:07PM
07/01/2015 4:00 PM (We)	4:05PM
07/01/2015 4:03 PM (We)	4:07PM
07/01/2015 4:05 PM (We)	4:07PM
07/01/2015 4:40 PM (We)	4:40PM
07/01/2015 4:42 PM (We)	4:43PM
07/01/2015 5:00 PM (We)	5:13PM
07/01/2015 5:00 PM (We)	5:14PM
07/01/2015 5:10 PM (We)	5:10PM
07/01/2015 5:39 PM (We)	5:39PM
07/01/2015 5:42 PM (We)	10:48PM
07/01/2015 5:47 PM (We)	5:47PM
07/01/2015 6:00 PM (We)	6:00PM
07/01/2015 6:00 PM (We)	6:11PM
07/01/2015 6:25 PM (We)	7:10PM
07/01/2015 6:35 PM (We)	7:18PM
07/01/2015 6:45 PM (We)	10:21PM
07/01/2015 6:45 PM (We)	7:15PM
07/01/2015 7:00 PM (We)	7:36PM
07/01/2015 7:00 PM (We)	8:11PM
07/01/2015 7:15 PM (We)	7:15PM
07/01/2015 7:40 PM (We)	8:25PM
07/01/2015 7:50 PM (We)	8:38PM
07/01/2015 8:00 PM (We)	8:18PM
07/01/2015 8:55 PM (We)	8:55PM
07/01/2015 9:05 PM (We)	9:13PM
07/01/2015 9:10 PM (We)	9:10PM
07/01/2015 10:05 PM (We)	11:11PM
07/01/2015 10:45 PM (We)	10:55PM
07/01/2015 11:15 PM (We)	11:15PM
07/02/2015 2:40 AM (Th)	2:49AM
07/02/2015 3:00 AM (Th)	3:00AM
07/02/2015 4:40 AM (Th)	4:40AM
07/02/2015 5:30 AM (Th)	5:30AM
07/02/2015 6:00 AM (Th)	6:02AM
07/02/2015 6:05 AM (Th)	6:11AM
07/02/2015 6:10 AM (Th)	6:16AM
07/02/2015 6:20 AM (Th)	6:22AM
07/02/2015 6:55 AM (Th)	6:59AM
07/02/2015 7:00 AM (Th)	7:00AM
07/02/2015 7:05 AM (Th)	7:05AM
07/02/2015 7:15 AM (Th)	7:17AM
07/02/2015 7:17 AM (Th)	7:17AM
07/02/2015 7:25 AM (Th)	7:25AM
07/02/2015 8:00 AM (Th)	8:00AM
07/02/2015 8:00 AM (Th)	8:00AM
07/02/2015 8:10 AM (Th)	8:11AM
07/02/2015 8:15 AM (Th)	8:15AM
07/02/2015 8:30 AM (Th)	8:32AM
07/02/2015 9:00 AM (Th)	9:09AM
07/02/2015 9:30 AM (Th)	9:30AM
07/02/2015 9:35 AM (Th)	9:39AM
07/02/2015 10:00 AM (Th)	10:01AM
07/02/2015 10:03 AM (Th)	10:05AM
07/02/2015 10:20 AM (Th)	10:22AM
07/02/2015 10:35 AM (Th)	10:35AM
07/02/2015 10:52 AM (Th)	10:55AM
07/02/2015 11:00 AM (Th)	11:17AM
07/02/2015 11:00 AM (Th)	11:00AM
07/02/2015 11:02 AM (Th)	11:03AM
07/02/2015 11:20 AM (Th)	11:20AM
07/02/2015 11:33 AM (Th)	11:34AM
07/02/2015 11:35 AM (Th)	11:35AM
07/02/2015 12:00 PM (Th)	12:00PM
07/02/2015 12:03 PM (Th)	12:05PM
07/02/2015 12:05 PM (Th)	12:05PM
07/02/2015 12:30 PM (Th)	12:55PM
07/02/2015 12:35 PM (Th)	12:54PM
07/02/2015 1:00 PM (Th)	1:01PM
07/02/2015 1:03 PM (Th)	1:03PM
07/02/2015 1:20 PM (Th)	1:23PM
07/02/2015 2:00 PM (Th)	2:11PM
07/02/2015 2:00 PM (Th)	2:01PM
07/02/2015 2:11 PM (Th)	2:11PM
07/02/2015 2:15 PM (Th)	2:15PM
07/02/2015 2:20 PM (Th)	2:20PM
07/02/2015 2:44 PM (Th)	2:44PM
07/02/2015 3:00 PM (Th)	3:28PM
07/02/2015 3:00 PM (Th)	3:02PM
07/02/2015 3:05 PM (Th)	3:05PM
07/02/2015 3:15 PM (Th)	3:48PM
07/02/2015 3:15 PM (Th)	3:19PM
07/02/2015 3:30 PM (Th)	3:33PM
07/02/2015 3:35 PM (Th)	3:57PM
07/02/2015 3:40 PM (Th)	3:40PM
07/02/2015 4:00 PM (Th)	4:18PM
07/02/2015 4:00 PM (Th)	4:00PM
07/02/2015 4:03 PM (Th)	4:03PM
07/02/2015 4:05 PM (Th)	4:05PM
07/02/2015 4:40 PM (Th)	6:32PM
07/02/2015 4:42 PM (Th)	4:45PM
07/02/2015 5:00 PM (Th)	5:09PM
07/02/2015 5:00 PM (Th)	5:00PM
07/02/2015 5:10 PM (Th)	5:10PM
07/02/2015 5:39 PM (Th)	5:39PM
07/02/2015 5:42 PM (Th)	6:25PM
07/02/2015 5:47 PM (Th)	5:55PM
07/02/2015 6:00 PM (Th)	6:00PM
07/02/2015 6:00 PM (Th)	6:22PM
07/02/2015 6:25 PM (Th)	6:26PM
07/02/2015 6:35 PM (Th)	6:35PM
07/02/2015 6:45 PM (Th)	6:51PM
07/02/2015 6:45 PM (Th)	9:35PM
07/02/2015 7:00 PM (Th)	7:00PM
07/02/2015 7:00 PM (Th)	7:14PM
07/02/2015 7:15 PM (Th)	7:15PM
07/02/2015 7:40 PM (Th)	7:59PM
07/02/2015 7:50 PM (Th)	7:58PM
07/02/2015 8:00 PM (Th)	8:14PM
07/02/2015 8:55 PM (Th)	8:55PM
07/02/2015 8:57 PM (Th)	9:11PM
07/02/2015 9:05 PM (Th)	9:16PM
07/02/2015 9:10 PM (Th)	9:11PM
07/02/2015 10:05 PM (Th)	10:07PM
07/02/2015 10:45 PM (Th)	10:45PM
07/02/2015 11:15 PM (Th)	11:15PM
07/03/2015 2:40 AM (Fr)	3:01AM
07/03/2015 3:00 AM (Fr)	
07/03/2015 5:45 AM (Fr)	5:45AM
07/03/2015 6:05 AM (Fr)	6:06AM
07/03/2015 6:45 AM (Fr)	6:45AM
07/03/2015 6:45 AM (Fr)	6:46AM
07/03/2015 7:00 AM (Fr)	7:00AM
07/03/2015 7:00 AM (Fr)	7:00AM
07/03/2015 7:05 AM (Fr)	7:05AM
07/03/2015 7:15 AM (Fr)	7:16AM
07/03/2015 8:00 AM (Fr)	8:00AM
07/03/2015 8:03 AM (Fr)	8:04AM
07/03/2015 8:05 AM (Fr)	8:06AM
07/03/2015 8:15 AM (Fr)	8:16AM
07/03/2015 9:00 AM (Fr)	9:00AM
07/03/2015 9:05 AM (Fr)	9:05AM
07/03/2015 9:09 AM (Fr)	9:10AM
07/03/2015 10:00 AM (Fr)	10:05AM
07/03/2015 10:00 AM (Fr)	10:03AM
07/03/2015 10:05 AM (Fr)	10:06AM
07/03/2015 10:20 AM (Fr)	10:23AM
07/03/2015 10:52 AM (Fr)	10:52AM
07/03/2015 11:02 AM (Fr)	11:02AM
07/03/2015 11:05 AM (Fr)	11:09AM
07/03/2015 11:20 AM (Fr)	11:20AM
07/03/2015 11:30 AM (Fr)	11:30AM
07/03/2015 12:00 PM (Fr)	12:00PM
07/03/2015 12:03 PM (Fr)	12:03PM
07/03/2015 12:05 PM (Fr)	12:05PM
07/03/2015 1:00 PM (Fr)	1:02PM
07/03/2015 1:05 PM (Fr)	1:06PM
07/03/2015 1:17 PM (Fr)	1:17PM
07/03/2015 1:20 PM (Fr)	1:20PM
07/03/2015 2:00 PM (Fr)	2:35PM
07/03/2015 2:05 PM (Fr)	2:10PM
07/03/2015 2:15 PM (Fr)	2:17PM
07/03/2015 3:00 PM (Fr)	3:00PM
07/03/2015 3:00 PM (Fr)	3:29PM
07/03/2015 3:04 PM (Fr)	3:04PM
07/03/2015 3:13 PM (Fr)	3:17PM
07/03/2015 3:15 PM (Fr)	3:17PM
07/03/2015 3:15 PM (Fr)	3:18PM
07/03/2015 3:40 PM (Fr)	3:47PM
07/03/2015 4:05 PM (Fr)	4:10PM
07/03/2015 4:30 PM (Fr)	4:30PM
07/03/2015 5:00 PM (Fr)	5:00PM
07/03/2015 5:05 PM (Fr)	5:05PM
07/03/2015 5:15 PM (Fr)	5:15PM
07/03/2015 5:17 PM (Fr)	5:17PM
07/03/2015 6:05 PM (Fr)	6:10PM
07/03/2015 7:00 PM (Fr)	7:13PM
07/03/2015 7:01 PM (Fr)	7:03PM
07/03/2015 7:15 PM (Fr)	7:15PM
07/03/2015 7:53 PM (Fr)	7:53PM
07/03/2015 8:00 PM (Fr)	8:00PM
07/03/2015 8:01 PM (Fr)	8:01PM
07/03/2015 9:05 PM (Fr)	9:05PM
07/03/2015 9:15 PM (Fr)	9:15PM
07/03/2015 11:05 PM (Fr)	11:05PM
07/03/2015 11:35 PM (Fr)	11:35PM
07/04/2015 2:40 AM (Sa)	2:40AM
07/04/2015 3:00 AM (Sa)	3:00AM
07/04/2015 5:45 AM (Sa)	5:52AM
07/04/2015 6:05 AM (Sa)	6:09AM
07/04/2015 6:45 AM (Sa)	6:49AM
07/04/2015 7:00 AM (Sa)	7:00AM
07/04/2015 7:00 AM (Sa)	7:00AM
07/04/2015 7:05 AM (Sa)	7:05AM
07/04/2015 7:15 AM (Sa)	7:16AM
07/04/2015 8:00 AM (Sa)	8:00AM
07/04/2015 8:03 AM (Sa)	8:03AM
07/04/2015 8:05 AM (Sa)	8:09AM
07/04/2015 8:15 AM (Sa)	8:15AM
07/04/2015 9:00 AM (Sa)	9:00AM
07/04/2015 9:05 AM (Sa)	9:05AM
07/04/2015 9:09 AM (Sa)	9:09AM
07/04/2015 10:00 AM (Sa)	10:00AM
07/04/2015 10:00 AM (Sa)	10:00AM
07/04/2015 10:05 AM (Sa)	10:06AM
07/04/2015 10:20 AM (Sa)	10:20AM
07/04/2015 10:52 AM (Sa)	10:52AM
07/04/2015 11:02 AM (Sa)	11:04AM
07/04/2015 11:05 AM (Sa)	11:07AM
07/04/2015 11:20 AM (Sa)	11:20AM
07/04/2015 11:30 AM (Sa)	11:33AM
07/04/2015 12:00 PM (Sa)	12:05PM
07/04/2015 12:03 PM (Sa)	12:03PM
07/04/2015 12:05 PM (Sa)	12:07PM
07/04/2015 1:00 PM (Sa)	1:00PM
07/04/2015 1:05 PM (Sa)	1:06PM
07/04/2015 1:17 PM (Sa)	1:17PM
07/04/2015 1:20 PM (Sa)	1:22PM
07/04/2015 2:00 PM (Sa)	2:11PM
07/04/2015 2:05 PM (Sa)	2:05PM
07/04/2015 2:15 PM (Sa)	2:15PM
07/04/2015 3:00 PM (Sa)	3:18PM
07/04/2015 3:00 PM (Sa)	3:00PM
07/04/2015 3:04 PM (Sa)	3:04PM
07/04/2015 3:13 PM (Sa)	3:14PM
07/04/2015 3:15 PM (Sa)	3:16PM
07/04/2015 3:15 PM (Sa)	3:19PM
07/04/2015 3:40 PM (Sa)	3:40PM
07/04/2015 4:05 PM (Sa)	4:05PM
07/04/2015 4:30 PM (Sa)	4:30PM
07/04/2015 5:00 PM (Sa)	5:16PM
07/04/2015 5:05 PM (Sa)	5:05PM
07/04/2015 5:15 PM (Sa)	5:15PM
07/04/2015 5:17 PM (Sa)	5:17PM
07/04/2015 6:05 PM (Sa)	6:10PM
07/04/2015 7:00 PM (Sa)	7:00PM
07/04/2015 7:01 PM (Sa)	7:01PM
07/04/2015 7:15 PM (Sa)	7:15PM
07/04/2015 7:53 PM (Sa)	7:53PM
07/04/2015 8:00 PM (Sa)	8:01PM
07/04/2015 8:01 PM (Sa)	8:02PM
07/04/2015 9:05 PM (Sa)	9:05PM
07/04/2015 9:15 PM (Sa)	9:15PM
07/04/2015 11:05 PM (Sa)	
07/04/2015 11:35 PM (Sa)	11:35PM
07/05/2015 2:40 AM (Su)	2:40AM
07/05/2015 3:00 AM (Su)	
07/05/2015 6:05 AM (Su)	6:05AM
07/05/2015 6:45 AM (Su)	6:45AM
07/05/2015 6:55 AM (Su)	6:55AM
07/05/2015 7:00 AM (Su)	7:00AM
07/05/2015 7:00 AM (Su)	7:00AM
07/05/2015 7:05 AM (Su)	7:05AM
07/05/2015 7:15 AM (Su)	7:15AM
07/05/2015 8:05 AM (Su)	8:05AM
07/05/2015 8:15 AM (Su)	8:16AM
07/05/2015 9:00 AM (Su)	9:00AM
07/05/2015 9:00 AM (Su)	9:01AM
07/05/2015 9:05 AM (Su)	9:05AM
07/05/2015 9:09 AM (Su)	9:09AM
07/05/2015 10:00 AM (Su)	10:00AM
07/05/2015 10:05 AM (Su)	10:05AM
07/05/2015 10:20 AM (Su)	10:20AM
